ID do Game,Título,Gênero,Plataforma,Ano de Lançamento,Preço,Avaliação,Estúdio,Descrição,Estoque
19,Progressive intermediate parallelism,Luta,Mobile,2015,45.73,2.31,Phillips Inc,Into imagine final open oil up someone market.,392
20,Expanded 24hour extranet,Estratégia,Mobile,2004,85.67,7.79,"Dunlap, Dixon and Robinson",Real quite total away likely whether.,261
21,Phased zero tolerance throughput,Simulação,PS5,2017,158.26,7.32,Lane-Moore,Role with trial unit travel prove social court everyone base.,133
22,Ameliorated tertiary service-desk,Aventura,Switch,2022,29.16,9.99,Davis-Rose,Appear work unit third front have wall start Mr economic work around.,24
23,Mandatory empowering projection,Esporte,Switch,2010,12.06,4.14,"Hatfield, Parrish and Ayala",Should say draw letter already know factor.,265
24,Innovative 6thgeneration focus group,Ação,Xbox Series X,2019,95.42,1.95,"Black, King and Lee",Often available cost music offer daughter so the new relate church necessary.,471
25,Programmable secondary functionalities,Esporte,Xbox Series X,2013,38.27,6.27,Lewis LLC,Budget management cultural provide beat soldier up second present cause drug sport.,451
26,Streamlined homogeneous software,Aventura,Switch,2011,62.67,2.73,"Brock, Mitchell and Scott",Quickly stage activity pass conference move type rise day cost.,117
27,Face-to-face coherent monitoring,Simulação,PC,2007,141.62,8.56,Murphy Group,Create type will against safe within both player series.,165
28,Reduced reciprocal contingency,Luta,Switch,2008,139.58,4.43,Savage Ltd,Offer number become wife require majority point.,226
29,Face-to-face eco-centric process improvement,Simulação,Mobile,2008,81.62,3.64,Anderson Inc,Pick improve call remember yes property computer political thing would activity.,267
30,Right-sized high-level capacity,Corrida,Xbox Series X,2016,178.76,2.34,"Porter, Wolfe and Williams",Walk whether pass center participant despite eat.,179
31,Diverse content-based throughput,Estratégia,Xbox Series X,2017,26.15,8.19,Hall Group,Future material physical religious conference under easy.,160
32,Realigned client-server policy,Estratégia,Mobile,2003,99.01,6.4,Vargas-Smith,Scientist save edge pull else production impact street among manage newspaper.,298
33,Organized national capacity,Aventura,PC,2000,97.55,4.19,"Jackson, Gibson and Morales",Speech television from space baby ground likely change heart change discussion north medical.,374
34,Mandatory context-sensitive product,Corrida,Mobile,2012,23.27,1.26,Thomas-Pratt,Ahead guess experience evidence ability turn voice election nation letter.,263
35,Exclusive intermediate knowledge user,Luta,Switch,2009,103.94,7.9,"Lee, Tran and Cummings",Challenge mean pretty join indeed wait better next see.,121
36,Object-based local approach,Estratégia,PC,2005,166.42,9.88,Armstrong and Sons,Remember event with no message other information seat light dinner enjoy economy.,2
37,Future-proofed asynchronous alliance,Simulação,PC,2022,87.82,8.02,"Gomez, Griffin and Williams",Tv word ago central several long surface traditional music.,385
38,De-engineered fresh-thinking task-force,Estratégia,Xbox Series X,2015,123.86,6.58,Chandler-Martinez,Service those college trial analysis speech side.,481
39,Face-to-face holistic customer loyalty,Corrida,PS5,2023,172.47,8.11,Edwards Group,They father color catch story style over else I consider.,367
40,Configurable grid-enabled strategy,Simulação,PS5,2014,152.09,4.24,Harris Ltd,Return usually wrong experience card concern camera note.,63
41,Horizontal zero administration framework,Ação,PC,2017,29.46,6.51,Martin Group,About court begin know smile technology before early win.,50
42,Monitored coherent analyzer,Aventura,PS5,2023,42.56,6.91,"Baird, Arnold and Reid",Once range able outside south effort seat place second message media.,189
43,Visionary scalable website,Estratégia,Xbox Series X,2013,13.17,4.74,"Morrow, Rich and Thompson",Why may then population contain hair family religious wife southern.,82
44,Devolved logistical approach,Aventura,PS5,2007,105.21,8.9,"Kim, Barr and Reed",Culture so down report health raise child old civil lay public.,414
45,Multi-tiered maximized contingency,Aventura,Mobile,2009,65.96,9.74,"Murphy, Lewis and Allen",Sport important others environment present occur very process film street manager.,12
46,Switchable 5thgeneration architecture,Ação,Mobile,2009,159.67,8.56,Duarte Ltd,Determine compare involve quality product wish.,485
47,Enterprise-wide bi-directional hardware,Simulação,PS5,2006,40.17,8.16,West Inc,Memory need character condition expert fly law message particularly accept.,249
48,Devolved 6thgeneration software,Ação,Xbox Series X,2017,101.89,5.3,"Gardner, Carlson and Carrillo",Gas analysis smile total open today because network television student.,455
49,Ameliorated empowering structure,Aventura,Xbox Series X,2002,57.96,1.94,Parsons-Davis,Response drug note only crime him box theory.,39
50,Sharable 4thgeneration initiative,Aventura,Switch,2021,48.78,4.06,"Lane, Cunningham and Rojas",Where everyone particular wonder article nice.,463
51,Reactive context-sensitive parallelism,RPG,Switch,2001,48.78,1.33,"Cook, Hartman and Hess",Consider play car expect free improve yeah.,145
52,Focused bifurcated website,Ação,Mobile,2008,185.73,2.89,"Bartlett, Nguyen and Petersen",Him day hear police reveal bag blue air security center structure.,449
53,Proactive actuating throughput,Aventura,Mobile,2020,164.74,5.11,Torres-Herrera,Finish write young section economic source coach read deep.,91
54,Future-proofed even-keeled archive,Ação,PS5,2015,187.12,3.34,"Long, Martin and Green",Poor place late east old win can.,270
55,Cross-platform tertiary knowledge user,Luta,PC,2000,63.92,1.97,Jones LLC,Sign energy soon admit course office race off.,327
56,Distributed eco-centric infrastructure,Corrida,Switch,2018,40.42,3.08,"Sanford, Fisher and Harper",Lay why religious sea half hit nice whole.,442
57,Polarized national firmware,RPG,Switch,2005,133.44,5.53,"Mccullough, Miller and Glass",Sure if environmental hold situation minute participant.,118
58,Face-to-face background instruction set,Simulação,Switch,2013,141.77,5.28,"Davis, Aguilar and Dyer",Laugh positive list news phone wait child smile protect send write maybe.,193
59,Monitored empowering hub,Luta,PC,2023,158.06,3.84,Thomas Group,Class travel bar news front believe determine environment realize character central.,402
60,Self-enabling non-volatile budgetary management,Estratégia,Xbox Series X,2009,153.08,9.54,Good-Thomas,Heavy series eat available improve company join.,2
61,Ameliorated contextually-based matrix,Luta,Switch,2003,133.73,4.64,Jensen Group,Performance machine maybe book measure fight pattern good difficult property.,499
62,Open-source maximized function,Simulação,Switch,2000,49.56,5.18,"Jackson, Lawrence and Taylor",Easy office picture value up agency alone Democrat understand despite wonder environmental.,352
63,Realigned stable orchestration,Ação,PS5,2023,165.28,8.0,Peters-Chambers,Low condition star sound plan region these threat challenge difference partner street than.,174
64,Phased content-based interface,Luta,PS5,2021,63.94,4.74,Marks-Hall,Contain book must prove answer under arrive produce add authority.,471
65,Fundamental interactive neural-net,Estratégia,Mobile,2020,32.5,3.13,Garza-Ferguson,Upon visit edge forward article stop example work already.,210
66,Phased systemic data-warehouse,RPG,Switch,2013,176.04,3.06,Sanchez-Reynolds,Once board how could Mr same.,325
67,Cloned methodical data-warehouse,Luta,PC,2013,181.49,8.85,"Daniels, Bowen and Gray",Middle hour sort yes teacher worker spend quite fear save modern.,214
68,Triple-buffered 24hour methodology,RPG,Switch,2023,95.21,3.04,Andersen-Lyons,Nothing call walk season option miss pass foot drive other.,457
69,Profound didactic functionalities,Aventura,PC,2006,120.67,9.18,"West, Trevino and Silva",Turn around peace near call method event continue attention.,95
70,Inverse neutral open architecture,Estratégia,PS5,2023,107.11,5.03,Gilbert-Hernandez,Interesting need man more take item might region.,164
71,Horizontal attitude-oriented data-warehouse,Simulação,PC,2001,117.29,6.92,Young-Sanchez,Lawyer no smile material maybe another late show away thing huge cultural assume.,232
72,Re-engineered secondary protocol,Esporte,Mobile,2005,54.68,7.2,"Ellison, Small and Prince",Return reality very follow organization our anything score painting.,323
73,Multi-layered upward-trending matrices,Simulação,Xbox Series X,2007,83.1,4.88,Evans-Lopez,Second authority sound size purpose finish.,85
74,Expanded human-resource adapter,Ação,Switch,2015,21.26,4.84,Davis-Mitchell,Carry white finish although section always arrive value cell about receive.,500
75,Enhanced static toolset,Aventura,Switch,2010,165.82,9.75,Cox-Garcia,Half many decade stop nature fish would every fast cost actually return.,453
76,User-friendly intangible parallelism,Simulação,Xbox Series X,2012,108.6,9.3,Ingram PLC,House war blue wear rock worker.,141
77,Profit-focused bi-directional infrastructure,Simulação,Mobile,2010,154.38,1.04,"Martinez, Ortiz and Gregory",Trip tree amount meet almost as single.,203
78,Multi-channeled web-enabled collaboration,Ação,PC,2015,88.66,6.71,"Jones, Wang and Malone",Hair second loss remember keep none key easy take here.,56
79,Reduced object-oriented definition,Simulação,PC,2023,103.99,1.8,Powell-Rodriguez,Might result even same something become.,35
80,Mandatory human-resource encoding,Corrida,Xbox Series X,2019,31.92,8.29,Horton-Doyle,More energy sometimes a quality reach.,168
81,Profit-focused high-level solution,RPG,Mobile,2010,164.96,1.01,"Smith, Collins and Vega",Reason language window cause focus land.,395
82,Reduced content-based productivity,Corrida,Mobile,2002,134.12,3.74,"Wright, Frost and Bruce",Mission agree drug number drug seek exist recent woman commercial bit.,210
83,Progressive heuristic conglomeration,Luta,Switch,2014,199.1,8.0,"Francis, Houston and Wright",Allow scientist son turn large Mrs break design.,148
84,Adaptive directional frame,Luta,Xbox Series X,2007,86.96,8.87,"Reyes, Allen and Scott",Unit significant glass interview keep type game rate weight power.,70
85,Diverse scalable leverage,Simulação,PS5,2003,134.52,1.64,"Santiago, Howell and Villa",Hear sense else along dog issue increase suggest from use television you evening.,384
86,Streamlined transitional service-desk,Corrida,Mobile,2008,72.31,9.61,"Young, Black and Williams",Cold clearly evening voice their fill morning suffer fact network.,270
87,Ameliorated next generation core,Esporte,Mobile,2015,47.33,1.45,"Hall, Scott and Ortega",Prevent at character office car focus.,68
88,Polarized zero-defect capability,Simulação,PS5,2018,186.33,7.52,Rodgers Ltd,Deal glass turn play professor happen magazine trip can per use.,341
89,Decentralized modular neural-net,RPG,Switch,2005,42.47,4.38,"Martinez, Conner and Greene",Letter number body could some maintain trouble team drive process box.,223
90,Visionary didactic array,Simulação,Switch,2008,117.36,2.85,Gibbs Inc,Film attack sure management he music actually time on recent company guess.,248
91,User-centric mobile secured line,Simulação,Xbox Series X,2003,141.8,9.54,"Mcdaniel, Hooper and Herring",Final reach however suddenly me main fill camera news seem.,339
92,Cross-group zero administration open architecture,Simulação,Switch,2008,110.17,5.11,"Gomez, Holland and Herman",Indeed show hold area almost lay entire step stock white strategy newspaper.,477
93,Distributed secondary hardware,Ação,Xbox Series X,2000,116.5,1.73,Ray PLC,Something head nature since politics in various.,177
94,Distributed local migration,RPG,PS5,2007,104.41,2.09,Li and Sons,Throughout yard treatment actually pattern notice hair magazine citizen something indeed process bill.,152
95,Triple-buffered bifurcated function,Ação,Mobile,2004,196.75,5.69,Johnson-Ali,Service already product way experience think chair manager affect herself part final.,498
96,Switchable clear-thinking knowledgebase,Luta,PS5,2012,68.14,9.18,"Warner, Simpson and Edwards",Phone try in there suggest find task opportunity career price feeling page.,108
97,Total client-server ability,Simulação,Xbox Series X,2007,23.99,4.89,"Carey, Tapia and Lamb",Not chair specific drop safe well your light future to.,403
98,Balanced solution-oriented knowledgebase,Simulação,PS5,2020,60.87,6.91,Trujillo Group,Go rule sound everyone tend bank.,43
99,Ameliorated background emulation,Esporte,PS5,2017,137.54,2.01,Hicks and Sons,Treatment expect officer theory keep east understand seven.,115
100,Managed system-worthy data-warehouse,Estratégia,Switch,2005,165.29,4.72,"Butler, Gonzalez and Williamson",Analysis hope owner friend stage soldier fine.,286
